color	level	musicTitle	BmsID	皿の枚数	トータルノート	皿の割合	Total値	ゲージ上昇率
	◎11	Ancient Memory A mix [yumether◎]	121441	1213	2368	0.51	500	0.21
	◎11	CHASER [^皿^]	77352	941	1730	0.54	350	0.2
	◎11	Mr.Burning Prince[◎]	107112	533	1256	0.42	450	0.36
	◎12	Cowardly Clime [yumether◎]	105201	753	1671	0.45	380	0.23
	◎12	Cross breed(NANATHER 皿)	76979	1026	1743	0.59	450	0.26
	◎12	VALLISTA [yumether◎]	115414	595	1700	0.35	444	0.26
	◎13	clutch[皿ANOTHER]	135739	748	1570	0.48	350	0.22
	◎13	God In Love -Hardcore remix-(ポロロロロロロロロッカ)	79605	1158	1894	0.61	500	0.26
	◎13	ワルツ第4番ロ短調-皿狼のワルツ-	163017	636	1694	0.38	540	0.32
	◎14	End Time A⇒Side[MD]	176064	744	1332	0.56	470	0.35
	◎14	PEACE BREAKER[SCRACH]	120338	813	1779	0.46	560	0.31
	◎15	DISCHARGE RUSH	84358	1000	2578	0.39	777	0.3
	◎15	ＤＱⅢ　Battle -Scratch-	95683	666	1464	0.45	434	0.3
	◎15	PEACE BREAKER[SCRACH EXTEND]	121098	940	1943	0.48	615	0.32
	◎15	"Run,Curry,Run [辛皿]"	120121	1128	2161	0.52	500	0.23
	◎15	Shade of Gloria [真紅の栄光]	176586	878	2269	0.39	470	0.21
